Date,City,PM2.5,PM10,NO2,SO2,CO,O3,AQI,Weather
2025-02-07,Delhi,81.47,245.05,81.58,66.89,2.69,74.2,96.01,Rainy
2025-02-07,Mumbai,94.76,296.86,67.34,82.27,9.1,35.61,111.31,Rainy
2025-02-07,Bangalore,166.71,189.71,18.26,21.58,2.01,28.38,74.12,Foggy
2025-02-07,Kolkata,28.9,65.01,13.12,56.43,0.66,19.89,31.66,Clear
2025-02-07,Chennai,34.03,183.47,62.44,65.56,8.99,110.46,90.98,Foggy
2025-02-07,Hyderabad,155.16,296.54,45.86,47.31,0.97,50.43,100.83,Hazy
2025-02-07,Pune,94.93,51.89,102.33,33.7,0.82,89.99,63.51,Cloudy
2025-02-07,Ahmedabad,51.73,150.26,13.03,91.07,0.79,126.43,73.4,Cloudy
2025-02-07,Jaipur,139.71,254.92,88.88,69.48,6.59,17.75,106.11,Hazy
2025-02-07,Lucknow,200.97,271.21,79.31,77.68,2.03,45.27,115.79,Rainy
2025-02-06,Delhi,86.39,97.8,36.67,70.92,8.46,35.01,68.57,Hazy
2025-02-06,Mumbai,32.59,176.44,104.56,29.07,7.66,72.03,81.88,Cloudy
2025-02-06,Bangalore,228.72,175.69,94.29,82.8,5.47,145.19,130.23,Hazy
2025-02-06,Kolkata,165.39,106.86,99.55,95.25,1.5,109.43,98.58,Foggy
2025-02-06,Chennai,56.94,260.41,122.03,11.15,1.25,88.75,91.96,Hazy
2025-02-06,Hyderabad,83.0,190.04,100.58,22.53,2.3,163.4,97.09,Cloudy
2025-02-06,Pune,92.6,250.5,77.45,63.18,2.18,176.33,113.64,Foggy
2025-02-06,Ahmedabad,66.43,140.01,110.65,63.97,7.07,41.15,82.15,Rainy
2025-02-06,Jaipur,59.68,255.38,77.97,77.26,9.49,55.72,103.48,Clear
2025-02-06,Lucknow,33.23,284.98,25.75,8.3,9.69,57.97,84.52,Hazy
2025-02-05,Delhi,233.05,54.5,114.64,84.58,9.51,172.93,125.8,Hazy
2025-02-05,Mumbai,32.17,251.41,95.83,16.91,6.58,148.27,101.73,Rainy
2025-02-05,Bangalore,53.43,58.22,143.35,78.08,9.71,151.93,97.02,Rainy
2025-02-05,Kolkata,181.7,181.39,119.98,95.93,1.92,78.57,112.8,Clear
2025-02-05,Chennai,236.19,98.6,57.1,74.83,8.89,102.09,109.62,Foggy
2025-02-05,Hyderabad,106.07,85.17,144.58,50.69,4.28,112.37,90.28,Clear
2025-02-05,Pune,189.69,164.41,58.85,37.91,3.56,85.38,95.31,Hazy
2025-02-05,Ahmedabad,217.47,273.89,22.78,42.52,7.83,69.63,117.43,Rainy
2025-02-05,Jaipur,43.69,239.43,26.75,51.79,4.34,110.57,85.94,Hazy
2025-02-05,Lucknow,36.04,57.9,64.04,51.93,4.22,50.7,50.47,Foggy
2025-02-04,Delhi,208.06,75.16,80.34,28.8,3.91,10.39,73.64,Clear
2025-02-04,Mumbai,66.15,63.71,74.26,51.31,4.26,162.57,76.77,Rainy
2025-02-04,Bangalore,124.11,124.4,88.56,67.88,8.53,14.58,84.14,Clear
2025-02-04,Kolkata,187.84,187.21,42.62,69.63,5.77,148.53,115.59,Cloudy
2025-02-04,Chennai,248.56,155.71,27.06,23.67,7.15,49.34,95.97,Cloudy
2025-02-04,Hyderabad,236.27,85.78,104.77,15.22,9.2,63.11,99.52,Cloudy
2025-02-04,Pune,189.48,248.29,146.93,31.5,1.37,73.72,117.27,Rainy
2025-02-04,Ahmedabad,125.05,280.15,124.76,26.92,1.45,153.88,120.88,Hazy
2025-02-04,Jaipur,234.27,131.02,43.02,83.07,6.13,156.8,118.25,Hazy
2025-02-04,Lucknow,220.46,42.29,119.25,92.18,6.32,92.48,104.98,Rainy
2025-02-03,Delhi,216.61,172.03,30.45,36.83,9.01,28.76,95.8,Clear
2025-02-03,Mumbai,52.06,101.19,95.27,22.27,7.98,74.39,70.83,Clear
2025-02-03,Bangalore,114.14,91.76,102.92,56.62,7.66,50.62,82.11,Rainy
2025-02-03,Kolkata,100.06,133.4,95.69,32.72,7.57,21.92,76.58,Rainy
2025-02-03,Chennai,194.14,102.94,26.89,18.04,3.59,151.6,88.25,Foggy
2025-02-03,Hyderabad,71.7,185.96,143.34,78.4,6.41,133.27,112.8,Rainy
2025-02-03,Pune,33.86,265.01,100.77,66.45,6.35,83.14,102.12,Hazy
2025-02-03,Ahmedabad,128.74,193.69,66.55,25.4,0.8,88.15,85.09,Rainy
2025-02-03,Jaipur,195.72,278.03,96.87,54.87,8.24,56.64,127.42,Clear
2025-02-03,Lucknow,168.96,98.99,91.63,12.58,7.51,129.49,96.12,Hazy
2025-02-02,Delhi,224.57,172.63,28.59,50.18,2.55,23.15,87.44,Clear
2025-02-02,Mumbai,221.93,45.52,25.57,29.73,9.56,32.27,75.1,Cloudy
2025-02-02,Bangalore,108.99,206.3,111.26,38.26,7.96,124.76,111.53,Foggy
2025-02-02,Kolkata,64.77,227.74,110.39,90.8,0.91,61.14,93.99,Cloudy
2025-02-02,Chennai,248.24,234.26,119.7,28.0,7.18,127.97,138.33,Cloudy
2025-02-02,Hyderabad,220.22,73.04,41.38,26.81,0.8,150.79,86.71,Foggy
2025-02-02,Pune,249.66,84.79,49.25,97.78,7.95,86.13,107.85,Clear
2025-02-02,Ahmedabad,127.7,279.87,85.26,55.55,9.51,33.96,112.91,Hazy
2025-02-02,Jaipur,73.55,99.08,28.41,19.36,5.39,104.3,63.1,Cloudy
2025-02-02,Lucknow,79.51,214.17,53.78,87.04,3.85,174.73,107.95,Foggy
2025-02-01,Delhi,212.87,30.33,73.27,63.4,0.74,86.72,79.0,Rainy
2025-02-01,Mumbai,93.41,85.44,28.9,17.08,6.0,46.29,55.19,Foggy
2025-02-01,Bangalore,215.44,249.93,71.21,91.75,8.15,143.36,142.2,Hazy
2025-02-01,Kolkata,34.86,82.84,55.58,6.47,0.64,162.39,58.09,Clear
2025-02-01,Chennai,67.48,199.85,59.88,71.96,9.81,164.13,110.23,Cloudy
2025-02-01,Hyderabad,237.98,54.79,124.72,76.03,6.1,112.66,111.2,Clear
2025-02-01,Pune,78.42,199.19,93.69,37.88,8.71,69.91,94.37,Cloudy
2025-02-01,Ahmedabad,75.69,276.26,89.2,8.84,3.97,168.61,109.72,Hazy
2025-02-01,Jaipur,32.21,275.91,102.04,79.01,3.9,46.48,95.78,Clear
2025-02-01,Lucknow,50.29,76.23,21.55,66.56,6.85,177.64,76.8,Foggy
2025-01-31,Delhi,100.4,35.46,61.11,81.54,5.39,69.76,67.03,Clear
2025-01-31,Mumbai,55.45,129.01,100.05,16.11,5.41,140.6,82.55,Rainy
2025-01-31,Bangalore,217.42,239.07,117.98,98.34,0.63,131.63,135.12,Cloudy
2025-01-31,Kolkata,216.25,185.83,33.63,91.86,6.23,161.27,125.19,Clear
2025-01-31,Chennai,88.94,89.84,47.55,15.72,5.93,43.81,57.53,Cloudy
2025-01-31,Hyderabad,56.49,84.07,99.51,56.75,6.7,129.02,82.14,Clear
2025-01-31,Pune,28.71,71.78,26.49,44.11,5.3,158.31,63.73,Foggy
2025-01-31,Ahmedabad,132.37,204.69,134.38,45.5,7.66,136.41,121.66,Cloudy
2025-01-31,Jaipur,175.53,92.96,111.58,37.87,2.02,98.81,89.49,Cloudy
2025-01-31,Lucknow,239.94,100.58,17.87,5.18,5.63,150.77,95.11,Cloudy
2025-01-30,Delhi,146.2,125.24,28.65,33.89,0.55,157.69,82.86,Hazy
2025-01-30,Mumbai,109.26,103.25,16.14,76.69,0.74,17.96,55.12,Clear
2025-01-30,Bangalore,189.3,75.16,129.46,75.47,8.48,37.4,98.6,Rainy
2025-01-30,Kolkata,122.14,167.77,102.32,32.25,8.03,103.9,101.45,Rainy
2025-01-30,Chennai,31.39,278.39,124.96,58.03,1.6,23.84,88.77,Cloudy
2025-01-30,Hyderabad,209.5,220.56,87.1,97.68,1.71,85.99,119.65,Rainy
2025-01-30,Pune,65.35,192.01,12.98,47.62,1.99,172.85,85.12,Hazy
2025-01-30,Ahmedabad,67.64,49.98,58.96,53.37,4.48,38.21,52.16,Foggy
2025-01-30,Jaipur,206.14,272.24,77.26,65.71,6.84,20.68,118.4,Cloudy
2025-01-30,Lucknow,190.18,127.58,113.95,47.17,5.82,47.46,97.42,Clear
2025-01-29,Delhi,131.26,161.66,89.55,8.58,2.7,32.18,75.04,Foggy
2025-01-29,Mumbai,37.71,293.39,39.23,38.02,5.65,150.96,102.63,Rainy
2025-01-29,Bangalore,30.05,123.6,145.8,95.14,6.05,50.84,84.32,Hazy
2025-01-29,Kolkata,77.34,288.13,109.67,70.41,3.09,139.81,119.38,Foggy
2025-01-29,Chennai,131.34,277.15,77.01,90.46,6.26,78.01,119.43,Rainy
2025-01-29,Hyderabad,109.34,280.04,97.38,35.85,1.48,55.21,98.77,Hazy
2025-01-29,Pune,142.54,234.46,102.34,55.91,7.29,130.5,123.11,Foggy
2025-01-29,Ahmedabad,237.45,265.77,72.65,70.33,3.05,144.51,136.87,Cloudy
2025-01-29,Jaipur,152.53,241.43,147.18,19.88,8.65,52.38,116.65,Foggy
2025-01-29,Lucknow,27.99,226.81,66.25,15.7,1.24,146.2,82.56,Hazy
2025-01-28,Delhi,32.11,115.05,35.21,65.08,2.08,80.48,58.12,Foggy
2025-01-28,Mumbai,235.81,76.62,96.95,48.82,9.52,34.99,98.06,Foggy
2025-01-28,Bangalore,246.79,201.85,110.86,17.63,2.06,108.62,117.73,Clear
2025-01-28,Kolkata,98.88,137.87,36.1,35.05,8.8,39.15,72.51,Cloudy
2025-01-28,Chennai,98.74,80.88,28.61,54.29,3.62,66.49,60.87,Cloudy
2025-01-28,Hyderabad,246.88,90.66,43.68,78.37,5.89,174.37,115.48,Hazy
2025-01-28,Pune,20.33,146.07,71.64,98.19,4.21,84.79,77.19,Cloudy
2025-01-28,Ahmedabad,192.09,51.63,133.22,69.99,3.12,120.37,99.75,Foggy
2025-01-28,Jaipur,152.53,71.39,31.65,54.31,6.63,44.78,70.16,Rainy
2025-01-28,Lucknow,242.36,233.43,105.96,82.51,0.52,80.39,124.98,Hazy
2025-01-27,Delhi,204.37,39.3,18.34,35.89,4.92,109.73,76.14,Rainy
2025-01-27,Mumbai,174.86,88.04,51.84,26.34,6.32,104.03,84.72,Cloudy
2025-01-27,Bangalore,113.63,40.3,19.26,91.67,1.88,128.47,68.69,Clear
2025-01-27,Kolkata,49.95,93.78,126.11,34.52,9.42,92.07,81.77,Foggy
2025-01-27,Chennai,222.13,192.58,33.25,79.97,2.93,58.62,102.64,Rainy
2025-01-27,Hyderabad,91.04,186.5,74.97,73.26,8.49,22.85,88.92,Foggy
2025-01-27,Pune,71.15,149.0,36.68,24.38,8.54,28.35,65.83,Hazy
2025-01-27,Ahmedabad,186.64,262.3,18.8,44.63,5.2,118.84,113.87,Rainy
2025-01-27,Jaipur,158.78,227.24,59.96,90.55,4.48,103.94,114.21,Hazy
2025-01-27,Lucknow,238.37,57.26,22.46,23.49,3.39,126.24,83.62,Clear
2025-01-26,Delhi,70.6,245.06,98.39,31.44,3.26,60.19,89.71,Rainy
2025-01-26,Mumbai,98.32,43.86,141.83,51.05,6.05,60.78,76.06,Rainy
2025-01-26,Bangalore,107.6,99.19,86.96,30.32,6.81,36.03,71.37,Cloudy
2025-01-26,Kolkata,121.48,198.63,65.23,13.05,2.72,174.64,100.04,Rainy
2025-01-26,Chennai,38.73,251.44,30.19,66.88,9.98,176.71,110.62,Foggy
2025-01-26,Hyderabad,147.91,96.27,107.19,90.19,5.23,138.13,105.33,Hazy
2025-01-26,Pune,38.84,73.83,68.8,74.03,2.89,150.81,72.53,Clear
2025-01-26,Ahmedabad,185.34,218.66,103.16,92.58,2.6,16.98,107.12,Cloudy
2025-01-26,Jaipur,224.86,32.11,90.49,40.38,4.09,99.58,88.05,Hazy
2025-01-26,Lucknow,154.13,49.75,19.7,16.95,7.56,163.93,80.01,Rainy
2025-01-25,Delhi,148.03,250.07,140.06,8.54,8.88,164.94,133.41,Clear
2025-01-25,Mumbai,152.08,159.28,70.15,56.84,1.89,178.17,105.9,Hazy
2025-01-25,Bangalore,68.4,280.49,13.65,65.19,7.03,29.95,88.0,Cloudy
2025-01-25,Kolkata,60.27,79.28,87.13,9.1,6.71,131.95,72.47,Hazy
2025-01-25,Chennai,214.86,203.92,36.67,55.32,9.88,43.41,108.83,Cloudy
2025-01-25,Hyderabad,156.15,290.69,58.41,67.0,4.62,153.02,128.58,Cloudy
2025-01-25,Pune,68.79,160.94,95.74,27.51,0.81,123.23,80.72,Hazy
2025-01-25,Ahmedabad,83.55,272.16,117.04,47.27,6.88,147.21,122.67,Clear
2025-01-25,Jaipur,247.94,124.81,102.62,7.73,6.52,16.83,94.19,Hazy
2025-01-25,Lucknow,152.85,79.89,57.1,76.21,4.75,94.07,84.6,Cloudy
2025-01-24,Delhi,187.92,89.51,71.53,74.85,9.65,90.19,101.75,Foggy
2025-01-24,Mumbai,36.64,199.69,62.6,64.15,8.42,142.34,98.27,Clear
2025-01-24,Bangalore,211.89,180.18,92.6,65.72,4.1,62.32,108.95,Foggy
2025-01-24,Kolkata,20.45,268.92,122.18,82.99,0.54,43.91,90.64,Hazy
2025-01-24,Chennai,98.1,278.25,127.3,47.23,6.1,19.47,105.23,Foggy
2025-01-24,Hyderabad,54.73,219.66,72.79,19.82,5.12,130.87,91.51,Hazy
2025-01-24,Pune,146.9,221.56,34.57,25.57,1.34,67.97,85.0,Cloudy
2025-01-24,Ahmedabad,108.9,79.62,24.31,99.77,4.88,17.66,63.18,Cloudy
2025-01-24,Jaipur,104.56,214.9,145.63,58.16,9.57,54.05,112.17,Hazy
2025-01-24,Lucknow,92.95,280.96,56.68,22.23,1.83,166.41,106.25,Clear
2025-01-23,Delhi,138.17,109.61,56.49,16.02,7.18,26.84,69.82,Rainy
2025-01-23,Mumbai,46.69,38.96,60.15,37.79,8.0,76.72,56.72,Hazy
2025-01-23,Bangalore,162.59,272.58,135.37,39.31,1.21,90.36,118.72,Rainy
2025-01-23,Kolkata,180.45,146.48,98.68,36.47,9.73,135.53,115.82,Rainy
2025-01-23,Chennai,243.01,176.8,117.63,50.97,7.44,97.4,126.7,Cloudy
2025-01-23,Hyderabad,156.86,105.51,68.34,15.96,5.49,32.57,72.36,Hazy
2025-01-23,Pune,89.79,69.67,143.02,24.73,7.25,87.14,81.14,Foggy
2025-01-23,Ahmedabad,83.61,268.5,119.17,60.69,1.67,177.1,120.96,Clear
2025-01-23,Jaipur,150.9,55.94,117.4,91.77,3.61,62.15,85.71,Foggy
2025-01-23,Lucknow,239.09,63.14,81.36,37.99,4.67,75.84,90.69,Hazy
2025-01-22,Delhi,186.19,137.24,56.8,49.6,6.53,125.86,103.5,Cloudy
2025-01-22,Mumbai,94.34,200.0,37.82,96.37,9.53,140.15,110.66,Rainy
2025-01-22,Bangalore,168.33,158.65,21.05,67.37,5.78,159.88,105.51,Foggy
2025-01-22,Kolkata,24.34,151.86,38.68,89.86,5.56,37.62,66.33,Cloudy
2025-01-22,Chennai,172.31,298.41,118.38,18.85,5.74,89.87,125.87,Foggy
2025-01-22,Hyderabad,25.08,164.48,87.48,91.68,1.04,159.26,89.73,Foggy
2025-01-22,Pune,210.16,229.24,38.68,31.68,1.99,142.51,112.03,Cloudy
2025-01-22,Ahmedabad,189.33,64.27,117.49,12.46,2.34,142.15,91.52,Hazy
2025-01-22,Jaipur,41.99,173.51,18.26,21.65,3.93,81.67,62.73,Foggy
2025-01-22,Lucknow,223.59,74.55,121.34,27.39,2.16,167.39,105.98,Cloudy
2025-01-21,Delhi,62.1,43.24,147.27,74.15,8.31,30.87,73.45,Clear
2025-01-21,Mumbai,71.43,204.6,88.43,26.19,2.02,14.22,70.84,Rainy
2025-01-21,Bangalore,53.68,173.99,83.6,36.48,6.35,40.84,75.35,Cloudy
2025-01-21,Kolkata,61.18,228.61,46.1,22.57,9.75,165.79,103.62,Cloudy
2025-01-21,Chennai,68.72,99.12,123.18,25.39,3.61,135.48,81.33,Foggy
2025-01-21,Hyderabad,202.82,230.18,79.91,47.48,1.82,26.6,100.87,Hazy
2025-01-21,Pune,39.63,99.36,90.1,9.56,6.0,15.02,52.28,Clear
2025-01-21,Ahmedabad,154.53,67.45,125.95,89.67,6.74,168.78,112.3,Foggy
2025-01-21,Jaipur,37.95,97.84,112.77,76.05,5.25,79.51,76.1,Rainy
2025-01-21,Lucknow,151.87,233.39,23.73,96.88,3.07,118.35,109.15,Hazy
2025-01-20,Delhi,220.94,257.87,31.72,85.25,2.31,73.37,115.38,Clear
2025-01-20,Mumbai,140.52,211.82,38.77,9.87,5.38,58.77,85.59,Cloudy
2025-01-20,Bangalore,118.25,212.22,22.61,11.06,1.23,30.54,67.83,Foggy
2025-01-20,Kolkata,27.4,168.71,139.19,34.12,8.0,35.77,80.86,Clear
2025-01-20,Chennai,238.71,270.26,91.96,55.06,0.75,136.89,133.4,Rainy
2025-01-20,Hyderabad,165.39,71.89,146.81,81.42,9.13,106.5,110.55,Foggy
2025-01-20,Pune,150.99,261.14,68.45,76.8,7.54,56.84,114.94,Foggy
2025-01-20,Ahmedabad,243.86,151.63,115.42,57.77,4.74,55.35,111.91,Cloudy
2025-01-20,Jaipur,134.05,222.22,82.83,10.21,4.77,100.98,99.66,Hazy
2025-01-20,Lucknow,206.19,152.06,75.49,83.45,6.97,145.83,122.12,Rainy
2025-01-19,Delhi,168.24,118.96,30.42,89.69,2.2,117.11,91.07,Hazy
2025-01-19,Mumbai,178.26,115.59,76.16,14.66,7.88,155.34,103.14,Rainy
2025-01-19,Bangalore,153.33,146.37,133.51,83.43,6.73,111.82,115.96,Foggy
2025-01-19,Kolkata,33.37,76.33,54.94,16.66,8.7,33.59,50.31,Clear
2025-01-19,Chennai,181.99,224.87,28.29,15.64,7.29,34.08,92.96,Cloudy
2025-01-19,Hyderabad,24.53,250.45,67.57,58.74,2.33,82.58,84.53,Hazy
2025-01-19,Pune,48.53,80.79,36.62,9.68,4.13,174.72,65.27,Foggy
2025-01-19,Ahmedabad,245.25,206.07,85.98,44.37,1.41,112.95,118.12,Hazy
2025-01-19,Jaipur,44.72,55.16,123.73,27.92,3.8,40.26,54.97,Cloudy
2025-01-19,Lucknow,20.39,276.58,57.19,56.31,5.03,171.6,105.39,Foggy
2025-01-18,Delhi,179.78,58.01,24.9,74.85,0.73,164.01,84.81,Clear
2025-01-18,Mumbai,46.65,239.71,112.66,26.0,5.63,39.92,86.87,Cloudy
2025-01-18,Bangalore,177.48,132.0,12.52,86.46,3.77,145.07,98.54,Clear
2025-01-18,Kolkata,115.18,57.17,111.06,42.07,2.11,64.72,68.55,Rainy
2025-01-18,Chennai,153.24,190.09,95.07,97.49,9.65,75.5,117.98,Hazy
2025-01-18,Hyderabad,173.01,129.71,149.62,91.97,1.89,149.73,118.82,Hazy
2025-01-18,Pune,211.3,88.65,87.67,42.22,2.28,50.32,83.83,Cloudy
2025-01-18,Ahmedabad,95.82,284.38,98.56,22.06,5.44,156.64,118.64,Foggy
2025-01-18,Jaipur,181.6,239.66,53.57,34.36,6.92,158.74,122.86,Foggy
2025-01-18,Lucknow,71.81,188.36,96.61,37.61,6.18,22.4,79.77,Rainy
2025-01-17,Delhi,20.95,83.02,39.2,29.39,5.85,67.18,49.71,Cloudy
2025-01-17,Mumbai,77.59,106.74,69.15,71.05,8.52,165.15,95.81,Rainy
2025-01-17,Bangalore,87.1,118.74,70.76,36.1,8.8,27.51,71.37,Clear
2025-01-17,Kolkata,142.21,179.18,92.99,90.84,8.52,92.29,113.79,Rainy
2025-01-17,Chennai,67.27,141.0,112.43,59.76,2.06,157.84,93.15,Hazy
2025-01-17,Hyderabad,168.48,146.21,58.25,15.01,5.56,51.53,82.51,Foggy
2025-01-17,Pune,79.5,290.95,28.74,90.64,6.75,63.16,103.41,Cloudy
2025-01-17,Ahmedabad,177.54,54.34,49.91,35.59,8.41,111.04,85.42,Cloudy
2025-01-17,Jaipur,235.48,217.14,41.85,21.12,8.01,125.63,120.22,Clear
2025-01-17,Lucknow,91.23,233.49,45.56,98.45,9.34,154.45,119.43,Foggy
2025-01-16,Delhi,199.52,125.38,142.48,19.57,6.47,37.48,98.19,Cloudy
2025-01-16,Mumbai,249.77,252.01,52.35,79.59,5.42,69.24,126.19,Cloudy
2025-01-16,Bangalore,217.51,195.8,99.39,56.38,6.12,142.09,128.73,Hazy
2025-01-16,Kolkata,152.78,144.06,87.29,86.57,6.88,168.0,117.92,Foggy
2025-01-16,Chennai,106.57,202.24,66.62,74.82,8.7,18.23,92.58,Cloudy
2025-01-16,Hyderabad,171.29,299.45,101.98,48.55,4.14,151.84,135.75,Clear
2025-01-16,Pune,111.36,56.67,20.44,63.06,3.94,83.93,62.48,Rainy
2025-01-16,Ahmedabad,143.48,295.98,95.85,67.32,2.91,71.54,117.21,Hazy
2025-01-16,Jaipur,54.93,200.49,93.46,59.79,1.52,118.49,90.39,Rainy
2025-01-16,Lucknow,53.7,170.23,78.72,45.36,2.94,38.14,69.26,Rainy
2025-01-15,Delhi,139.89,191.76,98.93,49.75,3.58,13.13,88.21,Clear
2025-01-15,Mumbai,72.9,115.78,81.87,60.61,6.28,146.07,90.0,Hazy
2025-01-15,Bangalore,50.67,236.35,11.62,10.15,8.18,55.17,74.29,Hazy
2025-01-15,Kolkata,174.41,123.73,106.42,49.4,7.34,147.68,112.51,Cloudy
2025-01-15,Chennai,213.48,197.08,83.25,96.28,8.25,143.77,136.06,Clear
2025-01-15,Hyderabad,248.33,101.82,14.51,21.12,6.36,15.82,77.53,Cloudy
2025-01-15,Pune,203.42,286.17,22.44,88.78,7.6,75.02,125.31,Rainy
2025-01-15,Ahmedabad,20.63,95.59,88.68,29.33,7.26,29.58,56.07,Rainy
2025-01-15,Jaipur,192.35,118.29,49.54,41.61,4.8,63.93,85.62,Cloudy
2025-01-15,Lucknow,57.17,246.24,148.2,93.87,2.93,125.6,116.73,Rainy
2025-01-14,Delhi,48.64,73.96,54.8,69.78,8.51,65.97,66.38,Cloudy
2025-01-14,Mumbai,192.15,221.57,71.64,41.49,1.95,171.8,119.69,Hazy
2025-01-14,Bangalore,125.56,294.78,60.27,21.86,2.73,148.76,113.09,Foggy
2025-01-14,Kolkata,20.93,189.93,64.46,40.88,6.74,78.0,76.93,Rainy
